symbol,PRICE_ONLY,PRICE+TECH,PRICE+TECH+LAG,ALL_NO_MACRO,ALL_NO_REGIME,ALL_FULL
AAPL,0.00937772337935786,0.010269295830844538,0.010462379818991435,0.010404125543945413,0.010179959823569593,0.010114734362951724
TSLA,0.020513116582067333,0.017719899242730895,0.017691487417690374,0.01786456501387391,0.017274153123337563,0.017160679447421206
^GSPC,0.0065044739243478086,0.005988399547028523,0.005969607294165057,0.005779550751891783,0.005914730508868494,0.0056732793134191386
^IRX,0.20746224765152152,0.11137751628869828,0.11625878128749996,0.09913046717508939,0.1360558424651096,0.1283328031077725
^IXIC,0.009158090181817659,0.007232118195100625,0.007329968674756181,0.007156960171682131,0.006525225219980529,0.006499908172016056
^TNX,0.01762487229369193,0.01200728578387424,0.011795626693849396,0.011238775536579843,0.011431633212839442,0.011356245206986488
^VIX,0.04500731952559395,0.043976911138346,0.04348143949856,0.04323848325405908,0.04589947758481749,0.045766179819822055
