symbol,mode,fold,split,task,horizon_days,model,n_rows,mae,rmse,r2,extra
AAPL,walk,0,val,volatility,20,BASELINE_PERSIST,106,0.005117312503832068,0.0065286365370286065,-0.7648594628206085,pcol=persist_vol_kd
AAPL,walk,0,test,volatility,20,BASELINE_PERSIST,106,0.005226844002497237,0.006740685491521865,-0.6043968069790571,pcol=persist_vol_kd
AAPL,walk,0,val,volatility,20,BASELINE_ZERO,106,0.02216414496241214,0.022702429545436748,-20.340756900031817,
AAPL,walk,0,test,volatility,20,BASELINE_ZERO,106,0.021957002685527523,0.02259270166347326,-17.023535886571235,
AAPL,walk,0,val,volatility,20,BASELINE_MEAN_TRAIN,106,0.0056048225349850265,0.007156989034001066,-1.1209276263060115,mean=0.0169611
AAPL,walk,0,test,volatility,20,BASELINE_MEAN_TRAIN,106,0.0056764044683806905,0.00729925213585986,-0.8813101206440814,mean=0.0169611
AAPL,walk,0,val,volatility,20,EXTRATREES,106,0.0035275829108639546,0.004645905738029053,0.106270828571985,
AAPL,walk,0,test,volatility,20,EXTRATREES,106,0.005971754067201437,0.006915150313802499,-0.6885227255386857,
AAPL,walk,0,val,volatility,20,XGB,106,0.005241449544760509,0.006271359127252051,-0.6285027187028449,
AAPL,walk,0,test,volatility,20,XGB,106,0.00707370845537129,0.008336249370394047,-1.4538333002440016,
AAPL,walk,0,val,volatility,20,LGBM,106,0.006536863446903695,0.007883827310477615,-1.5735899450425967,
AAPL,walk,0,test,volatility,20,LGBM,106,0.012481424245853617,0.013424768785334117,-5.3638112460763665,
AAPL,walk,0,val,volatility,20,HGB,106,0.008256986188359986,0.010073366232749547,-3.2015969860276314,
AAPL,walk,0,test,volatility,20,HGB,106,0.014246873000730478,0.015930157400325218,-7.960738312473419,
AAPL,walk,0,val,volatility,20,HYBRID_STACK_REG,106,0.0056168224155713296,0.007172324211767322,-1.130026326118931,stacking regressor with Ridge meta
AAPL,walk,0,test,volatility,20,HYBRID_STACK_REG,106,0.005688741615685475,0.007315381705102431,-0.8896337813463471,stacking regressor with Ridge meta
AAPL,walk,1,val,volatility,20,BASELINE_PERSIST,106,0.006062054373139224,0.007309757740046846,-0.7354376376520952,pcol=persist_vol_kd
AAPL,walk,1,test,volatility,20,BASELINE_PERSIST,106,0.004877805037070548,0.006328507753431728,-0.06374191090319559,pcol=persist_vol_kd
AAPL,walk,1,val,volatility,20,BASELINE_ZERO,106,0.0216597890194581,0.022359238753357644,-15.237421752641662,
AAPL,walk,1,test,volatility,20,BASELINE_ZERO,106,0.01981914995620549,0.020747260657489518,-10.43286733320389,
AAPL,walk,1,val,volatility,20,BASELINE_MEAN_TRAIN,106,0.00563538102993582,0.0072283312790145,-0.6969894451340173,mean=0.0170273
AAPL,walk,1,test,volatility,20,BASELINE_MEAN_TRAIN,106,0.00492534771662427,0.006741244545269482,-0.20701815177757665,mean=0.0170273
