symbol,date,p_up,pos,ret_next,strat_ret
AAPL,2022-12-09,0.6463339077089796,1,0.01638999557563814,0.01638999557563814
AAPL,2022-12-12,0.5942009697718278,1,0.006782446468835079,0.006782446468835079
AAPL,2022-12-13,0.6924177806852495,1,-0.015535811424151502,-0.015535811424151502
AAPL,2022-12-14,0.6595472837591662,1,-0.04685431463789913,-0.04685431463789913
AAPL,2022-12-15,0.8303655966435647,1,-0.014578794821714758,-0.014578794821714758
AAPL,2022-12-16,0.7685886065563503,1,-0.01590959391154889,-0.01590959391154889
AAPL,2022-12-19,0.8119911538241372,1,-0.0005287608069164396,-0.0005287608069164396
AAPL,2022-12-20,0.7517641194203962,1,0.023809477126406797,0.023809477126406797
AAPL,2022-12-21,0.6655745132215592,1,-0.02377261936693542,-0.02377261936693542
AAPL,2022-12-22,0.7027762449783961,1,-0.0027981178941416385,-0.0027981178941416385
AAPL,2022-12-23,0.5340021701765522,0,-0.01387836965405731,-0.0
AAPL,2022-12-27,0.6765522734432249,1,-0.03068521034551308,-0.03068521034551308
AAPL,2022-12-28,0.8291956280895828,1,0.02832433885189234,0.02832433885189234
AAPL,2022-12-29,0.6689955303098619,1,0.00246888406699175,0.00246888406699175
AAPL,2022-12-30,0.45162070972575763,0,-0.03740470449409117,-0.0
AAPL,2023-01-03,0.8165057083059082,1,0.010314231379827232,0.010314231379827232
AAPL,2023-01-04,0.8186485730642732,1,-0.010604653061194957,-0.010604653061194957
AAPL,2023-01-05,0.8855008699376756,1,0.036794101724815675,0.036794101724815675
AAPL,2023-01-06,0.7864107886761993,1,0.004088865910060413,0.004088865910060413
AAPL,2023-01-09,0.6377424156244422,1,0.004456410743407302,0.004456410743407302
AAPL,2023-01-10,0.789992789405557,1,0.02111229140844828,0.02111229140844828
AAPL,2023-01-11,0.6297186495085095,1,-0.0005993095195339082,-0.0005993095195339082
AAPL,2023-01-12,0.7485475894506494,1,0.010119112567793076,0.010119112567793076
AAPL,2023-01-13,0.650170020448257,1,0.008756366745847899,0.008756366745847899
AAPL,2023-01-17,0.6663777885889649,1,-0.005369984658148752,-0.005369984658148752
AAPL,2023-01-18,0.8947965162217763,1,0.00044373608175840573,0.00044373608175840573
AAPL,2023-01-19,0.8100498334894486,1,0.01922074933545259,0.01922074933545259
AAPL,2023-01-20,0.6870275624854268,1,0.02350043960188808,0.02350043960188808
AAPL,2023-01-23,0.530820180502748,0,0.010063058343160014,0.0
AAPL,2023-01-24,0.5903249235744982,1,-0.00470075194473818,-0.00470075194473818
AAPL,2023-01-25,0.7500157272478433,1,0.014803370185255682,0.014803370185255682
AAPL,2023-01-26,0.8003151042623897,1,0.013684258613779976,0.013684258613779976
AAPL,2023-01-27,0.5872336198295135,1,-0.020078070464177533,-0.020078070464177533
AAPL,2023-01-30,0.7788285987694609,1,0.009020932070858745,0.009020932070858745
AAPL,2023-01-31,0.6434111608887219,1,0.007900751560697472,0.007900751560697472
AAPL,2023-02-01,0.8061844869083923,1,0.03706260688917107,0.03706260688917107
AAPL,2023-02-02,0.4249502085539448,0,0.024399897209064214,0.0
AAPL,2023-02-03,0.29818862369721655,0,-0.01792883024246561,-0.0
AAPL,2023-02-06,0.517931039355894,0,0.019244699473851767,0.0
AAPL,2023-02-07,0.4868200290185545,0,-0.017652737376545935,-0.0
AAPL,2023-02-08,0.6296668814353198,1,-0.006911552556695955,-0.006911552556695955
AAPL,2023-02-09,0.7281305941963849,1,0.0009279472007650558,0.0009279472007650558
AAPL,2023-02-10,0.5458610216943924,0,0.01880677902118011,0.0
AAPL,2023-02-13,0.4907603665275608,0,-0.004224953717818392,-0.0
AAPL,2023-02-14,0.4792549209361116,0,0.013903426404976438,0.0
AAPL,2023-02-15,0.4971479621560133,0,-0.010429376798369527,-0.0
AAPL,2023-02-16,0.3783547080222751,0,-0.007546702305912589,-0.0
AAPL,2023-02-17,0.2883094497394864,0,-0.026679824600448265,-0.0
AAPL,2023-02-21,0.22817395372281227,0,0.0028960664530148783,0.0
AAPL,2023-02-22,0.22420645200832295,0,0.0032905125399556034,0.0
AAPL,2023-02-23,0.18319244385057293,0,-0.018005269695533066,-0.0
AAPL,2023-02-24,0.16964633039960914,0,0.008247504598905886,0.0
AAPL,2023-02-27,0.2078701528436413,0,-0.003447772533457294,-0.0
AAPL,2023-02-28,0.23412695992870913,0,-0.014246021649447993,-0.0
AAPL,2023-03-01,0.29369815791695475,0,0.0041291453691869595,0.0
AAPL,2023-03-02,0.1947256458125933,0,0.035090089703815774,0.0
AAPL,2023-03-03,0.3758748636574929,0,0.01853938339660255,0.0
AAPL,2023-03-06,0.22717585944426663,0,-0.014496494188358522,-0.0
AAPL,2023-03-07,0.26262500007068507,0,0.00837723590066819,0.0
AAPL,2023-03-08,0.21565092567253075,0,-0.014914625839747453,-0.0
AAPL,2023-03-09,0.3237232170189265,0,-0.0138787196275717,-0.0
AAPL,2023-03-10,0.4386928232385334,0,0.013266001486216261,0.0
AAPL,2023-03-13,0.21456640387423054,0,0.01408915464869298,0.0
AAPL,2023-03-14,0.1412789648857722,0,0.0026214638237991306,0.0
AAPL,2023-03-15,0.18270336315875066,0,0.018694035607962345,0.0
AAPL,2023-03-16,0.14600053281704198,0,-0.00545400109224925,-0.0
AAPL,2023-03-17,0.16887381365840892,0,0.015483831590221708,0.0
AAPL,2023-03-20,0.16708245757870127,0,0.011944122971497162,0.0
AAPL,2023-03-21,0.24233854478468994,0,-0.009103446505241086,-0.0
AAPL,2023-03-22,0.35642879324275983,0,0.006969466083539766,0.0
AAPL,2023-03-23,0.37206054201045524,0,0.008305589788276002,0.0
AAPL,2023-03-24,0.29896022934262423,0,-0.012293299349161457,-0.0
AAPL,2023-03-27,0.33944486607962737,0,-0.003980318976947728,-0.0
AAPL,2023-03-28,0.3435749566013908,0,0.019790742129842442,0.0
AAPL,2023-03-29,0.2403692289383301,0,0.009889881791605992,0.0
AAPL,2023-03-30,0.2388579313745817,0,0.015644205941022005,0.0
AAPL,2023-03-31,0.33628856757099485,0,0.00770166355044366,0.0
AAPL,2023-04-03,0.26145835601717216,0,-0.003249643690696802,-0.0
AAPL,2023-04-04,0.3957754757555909,0,-0.011290287513422759,-0.0
AAPL,2023-04-05,0.32080651781071695,0,0.005495903672834368,0.0
AAPL,2023-04-06,0.31584883609503256,0,-0.01597233586979263,-0.0
AAPL,2023-04-10,0.3091797646277398,0,-0.007591160506113748,-0.0
AAPL,2023-04-11,0.3124987710032758,0,-0.004353214769634461,-0.0
AAPL,2023-04-12,0.24877816542197803,0,0.03410363052421039,0.0
AAPL,2023-04-13,0.28951186210282565,0,-0.0021139819394035975,-0.0
AAPL,2023-04-14,0.19462113436870604,0,0.0001209915432451858,0.0
AAPL,2023-04-17,0.20453210414782086,0,0.0075047238711354325,0.0
AAPL,2023-04-18,0.24382581727195643,0,0.006968244450070493,0.0
AAPL,2023-04-19,0.31086008374807417,0,-0.0058462742813449875,-0.0
AAPL,2023-04-20,0.3661114579905135,0,-0.00978091619394783,-0.0
AAPL,2023-04-21,0.2583622739442668,0,0.001878545331279513,0.0
AAPL,2023-04-24,0.4902910954650783,0,-0.0094356592349637,-0.0
AAPL,2023-04-25,0.6108961993160047,1,-6.112087295517821e-05,-6.112087295517821e-05
AAPL,2023-04-26,0.46458888871090087,0,0.02839526936524983,0.0
AAPL,2023-04-27,0.2663636436585236,0,0.007541054486406518,0.0
AAPL,2023-04-28,0.3148198632538507,0,-0.0005303886243240852,-0.0
AAPL,2023-05-01,0.2627309870814371,0,-0.006191420923589042,-0.0
AAPL,2023-05-02,0.39194728916693644,0,-0.006467285993302041,-0.0
AAPL,2023-05-03,0.3103382833156137,0,-0.009913429037699317,-0.0
AAPL,2023-05-04,0.3647244453875205,0,0.04692692172716728,0.0
AAPL,2023-05-05,0.20207287086124023,0,-0.0004033376808469935,-0.0
AAPL,2023-05-08,0.18297722584140827,0,-0.009971156931060876,-0.0
AAPL,2023-05-09,0.19659374292914955,0,0.010420872338650744,0.0
AAPL,2023-05-10,0.28474393319368246,0,0.0010947363682816125,0.0
AAPL,2023-05-11,0.34538194621031093,0,-0.006791324752697836,-0.0
AAPL,2023-05-12,0.24601177589650963,0,-0.002897374855299284,-0.0
AAPL,2023-05-15,0.2189630738561999,0,0.0,0.0
AAPL,2023-05-16,0.212859354660902,0,0.0036031562201266354,0.0
AAPL,2023-05-17,0.22886691381951318,0,0.013666110237923634,0.0
AAPL,2023-05-18,0.16797394997280402,0,0.0006283953638037687,0.0
AAPL,2023-05-19,0.2134803531015719,0,-0.005480741572254533,-0.0
AAPL,2023-05-22,0.195717443398892,0,-0.015154991021227304,-0.0
AAPL,2023-05-23,0.3003000782040519,0,0.00163207497832496,0.0
AAPL,2023-05-24,0.27340692200753913,0,0.0066923253013353445,0.0
AAPL,2023-05-25,0.2850598695120089,0,0.014104787011603337,0.0
AAPL,2023-05-26,0.24755891003261402,0,0.010659581907596527,0.0
AAPL,2023-05-30,0.1852183624184434,0,-0.0002820251037627397,-0.0
AAPL,2023-05-31,0.21399932243466507,0,0.016022546335066945,0.0
AAPL,2023-06-01,0.32984884176159296,0,0.004775393568990927,0.0
AAPL,2023-06-02,0.273524401592556,0,-0.0075711253953729685,-0.0
