date,AAPL,GLD,MSFT,TSLA,^DJI,^GSPC,^IXIC,^RUT,PORTFOLIO
2024-03-26,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2024-03-27,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2024-03-28,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2024-04-01,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2024-04-02,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2024-04-03,100000.0,100000.0,100000.0,100000.0,100000.0,100005.20137315319,100000.0,100000.0,100000.65017164414
2024-04-04,100000.0,100000.0,100000.0,99752.54876461338,100000.0,100005.20137315319,99776.31114621546,100000.0,99941.75766049775
2024-04-05,100000.0,100000.0,100000.0,99752.54876461338,100000.0,100005.20137315319,99776.31114621546,100000.0,99941.75766049775
2024-04-08,100000.0,100000.0,100000.0,99752.54876461338,100000.0,100005.20137315319,99776.31114621546,100000.0,99941.75766049775
2024-04-09,100000.0,100000.0,100000.0,99752.54876461338,100000.0,100005.20137315319,99776.31114621546,100000.0,99941.75766049775
2024-04-10,99879.77334603806,100000.0,100000.0,99752.54876461338,99909.94025686294,99897.62273184017,99776.31114621546,100000.0,99902.02453069625
2024-04-11,99879.77334603806,100000.0,100230.49937004731,99752.54876461338,99909.94025686294,99897.62273184017,100010.7336769892,100000.0,99960.13976829889
2024-04-12,99879.77334603806,100000.0,100230.49937004731,99752.54876461338,99909.94025686294,99897.62273184017,100010.7336769892,100000.0,99960.13976829889
2024-04-15,99879.77334603806,100000.0,100230.49937004731,99752.54876461338,99909.94025686294,99897.62273184017,100010.7336769892,100000.0,99960.13976829889
2024-04-16,99879.77334603806,100000.0,100230.49937004731,99752.54876461338,99909.94025686294,99897.62273184017,100010.7336769892,100000.0,99960.13976829889
2024-04-17,99879.77334603806,100000.0,100230.49937004731,99752.54876461338,99812.96120441177,99897.62273184017,100010.7336769892,100000.0,99948.01738674249
2024-04-18,99879.77334603806,100007.28374155224,100230.49937004731,99752.54876461338,99812.96120441177,99526.51474528696,99750.05278833341,100000.0,99869.95424503538
2024-04-19,99879.77334603806,100007.28374155224,100230.49937004731,99047.7478873542,99812.96120441177,99526.51474528696,99750.05278833341,100000.0,99781.85413537799
2024-04-22,99879.77334603806,100007.28374155224,100230.49937004731,99047.7478873542,99812.96120441177,99526.51474528696,99750.05278833341,100000.0,99781.85413537799
2024-04-23,99879.77334603806,100007.28374155224,100230.49937004731,99047.7478873542,99812.96120441177,99526.51474528696,99750.05278833341,100000.0,99781.85413537799
2024-04-24,99905.1001298545,100007.28374155224,100152.81881516307,99047.7478873542,99990.06013945503,99526.51474528696,99750.05278833341,100000.0,99797.44728087493
2024-04-25,99905.1001298545,100007.28374155224,100152.81881516307,99047.7478873542,99990.06013945503,99590.64372575124,99746.63748669006,100000.0,99805.03649072754
2024-04-26,99905.1001298545,100007.28374155224,100152.81881516307,100468.49469651937,99990.06013945503,99590.64372575124,99746.63748669006,100000.0,99982.62984187317
2024-04-29,99905.1001298545,100007.28374155224,100152.81881516307,100468.49469651937,99990.06013945503,99590.64372575124,99746.63748669006,100000.0,99982.62984187317
2024-04-30,99905.1001298545,99928.57083173646,100152.81881516307,100468.49469651937,99990.06013945503,99590.64372575124,99746.63748669006,100000.0,99972.79072814621
2024-05-01,99905.1001298545,99928.57083173646,100152.81881516307,100468.49469651937,99990.06013945503,99590.64372575124,99746.63748669006,100000.0,99972.79072814621
2024-05-02,99905.1001298545,99928.57083173646,100152.81881516307,100468.49469651937,99990.06013945503,99590.64372575124,99814.87043599137,100000.0,99981.31984680887
