symbol,mode,fold,split,task,horizon_days,model,n_rows,mae,rmse,r2,extra
AAPL,walk,0,val,volatility,10,BASELINE_PERSIST,116,0.006270274056910691,0.007587463730672824,-0.37513419045738505,pcol=persist_vol_kd
AAPL,walk,0,test,volatility,10,BASELINE_PERSIST,116,0.005719846070245203,0.007524602080752908,-0.4111938842267324,pcol=persist_vol_kd
AAPL,walk,0,val,volatility,10,BASELINE_ZERO,116,0.02087054074498109,0.021850496322666377,-10.40445238810497,
AAPL,walk,0,test,volatility,10,BASELINE_ZERO,116,0.020865304513772328,0.021805566509842934,-10.850982513705073,
AAPL,walk,0,val,volatility,10,BASELINE_MEAN_TRAIN,116,0.006308854212243621,0.00805622385033796,-0.5502968838875191,mean=0.0160707
AAPL,walk,0,test,volatility,10,BASELINE_MEAN_TRAIN,116,0.0059194280887833566,0.00794415409496236,-0.5729500386284234,mean=0.0160707
AAPL,walk,0,val,volatility,10,EXTRATREES,116,0.005545984225518817,0.007558012585449281,-0.36447959542319563,
AAPL,walk,0,test,volatility,10,EXTRATREES,116,0.006284167894953708,0.007940950078536237,-0.5716814979154075,
AAPL,walk,0,val,volatility,10,XGB,116,0.006422971312352069,0.008743380631338454,-0.8260412943379944,
AAPL,walk,0,test,volatility,10,XGB,116,0.005998220277289904,0.008077656703619415,-0.6262615456970362,
AAPL,walk,0,val,volatility,10,LGBM,116,0.006762890633243609,0.009955957231994448,-1.3676519947399344,
AAPL,walk,0,test,volatility,10,LGBM,116,0.007046586722653608,0.009344475420272832,-1.1763536143280913,
AAPL,walk,0,val,volatility,10,HGB,116,0.007658407116248968,0.010795729048014263,-1.7839137510037801,
AAPL,walk,0,test,volatility,10,HGB,116,0.011018672463071474,0.013323822844465923,-3.424633551710187,
AAPL,walk,0,val,volatility,10,HYBRID_STACK_REG,116,0.005980326538229999,0.0076723064794587984,-0.4060595351159697,stacking regressor with Ridge meta
AAPL,walk,0,test,volatility,10,HYBRID_STACK_REG,116,0.005613615321733242,0.007607820366465394,-0.44258066911981064,stacking regressor with Ridge meta
AAPL,walk,1,val,volatility,10,BASELINE_PERSIST,116,0.005584385823689513,0.0069082140130213325,-0.18262940256307103,pcol=persist_vol_kd
AAPL,walk,1,test,volatility,10,BASELINE_PERSIST,116,0.005901143334152428,0.007523667311107107,-0.1387557102620538,pcol=persist_vol_kd
AAPL,walk,1,val,volatility,10,BASELINE_ZERO,116,0.020851896674416708,0.021798056141910518,-10.77477559820709,
AAPL,walk,1,test,volatility,10,BASELINE_ZERO,116,0.018768603866724656,0.020049158471035805,-7.086557861810375,
AAPL,walk,1,val,volatility,10,BASELINE_MEAN_TRAIN,116,0.006017484007016602,0.007926390180478436,-0.556926100783798,mean=0.0161112
AAPL,walk,1,test,volatility,10,BASELINE_MEAN_TRAIN,116,0.005562601026233673,0.007534583420280812,-0.14206255493455422,mean=0.0161112
AAPL,walk,1,val,volatility,10,EXTRATREES,116,0.005671836134826093,0.006798971699091076,-0.14552236421401643,
AAPL,walk,1,test,volatility,10,EXTRATREES,116,0.005654325987660195,0.0071352942832533395,-0.024224547671010788,
AAPL,walk,1,val,volatility,10,XGB,116,0.006902823019422612,0.008800053645730298,-0.9190564277324098,
AAPL,walk,1,test,volatility,10,XGB,116,0.006462292176135796,0.008047649450069626,-0.30289525485111923,
AAPL,walk,1,val,volatility,10,LGBM,116,0.007625633491293768,0.009818880779705948,-1.3891371385108746,
AAPL,walk,1,test,volatility,10,LGBM,116,0.006749397899075081,0.008324804326342245,-0.39418199490194517,
AAPL,walk,1,val,volatility,10,HGB,116,0.008730091129349601,0.010661581366903405,-1.8168281809537268,
AAPL,walk,1,test,volatility,10,HGB,116,0.009905748213208049,0.01162067064380815,-1.7166506040565364,
AAPL,walk,1,val,volatility,10,HYBRID_STACK_REG,116,0.0057548277491466845,0.007642952365299399,-0.44756945750027577,stacking regressor with Ridge meta
AAPL,walk,1,test,volatility,10,HYBRID_STACK_REG,116,0.005525439404214893,0.007454236914605768,-0.11783520853080764,stacking regressor with Ridge meta
AAPL,walk,2,val,volatility,10,BASELINE_PERSIST,116,0.005719846070245203,0.007524602080752908,-0.4111938842267324,pcol=persist_vol_kd
AAPL,walk,2,test,volatility,10,BASELINE_PERSIST,116,0.004181040587137342,0.0052555718745428736,-1.770012993405084,pcol=persist_vol_kd
AAPL,walk,2,val,volatility,10,BASELINE_ZERO,116,0.020865304513772328,0.021805566509842934,-10.850982513705073,
AAPL,walk,2,test,volatility,10,BASELINE_ZERO,116,0.012017170150210829,0.012425128759422659,-14.482591042628309,
AAPL,walk,2,val,volatility,10,BASELINE_MEAN_TRAIN,116,0.005742728156508698,0.007703653953342542,-0.47915314503872075,mean=0.0164807
