date,equity,symbol,daily_ret
2024-03-26,100000.0,AAPL,0.0
2024-03-27,100000.0,AAPL,0.0
2024-03-28,100000.0,AAPL,0.0
2024-04-01,100000.0,AAPL,0.0
2024-04-02,100000.0,AAPL,0.0
2024-04-03,100000.0,AAPL,0.0
2024-04-04,100000.0,AAPL,0.0
2024-04-05,100000.0,AAPL,0.0
2024-04-08,100000.0,AAPL,0.0
2024-04-09,100000.0,AAPL,0.0
2024-04-10,99879.77334603806,AAPL,-0.001202266539619412
2024-04-11,99879.77334603806,AAPL,0.0
2024-04-12,99879.77334603806,AAPL,0.0
2024-04-15,99879.77334603806,AAPL,0.0
2024-04-16,99879.77334603806,AAPL,0.0
2024-04-17,99879.77334603806,AAPL,0.0
2024-04-18,99879.77334603806,AAPL,0.0
2024-04-19,99879.77334603806,AAPL,0.0
2024-04-22,99879.77334603806,AAPL,0.0
2024-04-23,99879.77334603806,AAPL,0.0
2024-04-24,99905.1001298545,AAPL,0.00025357270013715016
2024-04-25,99905.1001298545,AAPL,0.0
2024-04-26,99905.1001298545,AAPL,0.0
2024-04-29,99905.1001298545,AAPL,0.0
2024-04-30,99905.1001298545,AAPL,0.0
2024-05-01,99905.1001298545,AAPL,0.0
2024-05-02,99905.1001298545,AAPL,0.0
2024-05-03,99905.1001298545,AAPL,0.0
2024-05-06,99905.1001298545,AAPL,0.0
2024-05-07,99905.1001298545,AAPL,0.0
2024-05-08,99905.1001298545,AAPL,0.0
2024-05-09,99905.1001298545,AAPL,0.0
2024-05-10,99905.1001298545,AAPL,0.0
2024-05-13,99905.1001298545,AAPL,0.0
2024-05-14,99905.1001298545,AAPL,0.0
2024-05-15,99905.1001298545,AAPL,0.0
2024-05-16,99905.1001298545,AAPL,0.0
2024-05-17,99905.1001298545,AAPL,0.0
2024-05-20,99905.1001298545,AAPL,0.0
2024-05-21,99905.1001298545,AAPL,0.0
2024-05-22,99905.1001298545,AAPL,0.0
2024-05-23,99905.1001298545,AAPL,0.0
2024-05-24,99905.1001298545,AAPL,0.0
2024-05-28,99905.1001298545,AAPL,0.0
2024-05-29,99905.1001298545,AAPL,0.0
2024-05-30,99905.1001298545,AAPL,0.0
2024-05-31,99905.1001298545,AAPL,0.0
2024-06-03,99905.1001298545,AAPL,0.0
2024-06-04,99905.1001298545,AAPL,0.0
2024-06-05,99905.1001298545,AAPL,0.0
2024-06-06,99905.1001298545,AAPL,0.0
2024-06-07,99905.1001298545,AAPL,0.0
2024-06-10,99905.1001298545,AAPL,0.0
2024-06-11,99905.1001298545,AAPL,0.0
2024-06-12,99905.1001298545,AAPL,0.0
2024-06-13,99905.1001298545,AAPL,0.0
2024-06-14,99905.1001298545,AAPL,0.0
2024-06-17,99905.1001298545,AAPL,0.0
2024-06-18,99905.1001298545,AAPL,0.0
2024-06-20,99905.1001298545,AAPL,0.0
2024-06-21,99905.1001298545,AAPL,0.0
2024-06-24,99905.1001298545,AAPL,0.0
2024-06-25,99905.1001298545,AAPL,0.0
2024-06-26,99905.1001298545,AAPL,0.0
2024-06-27,99905.1001298545,AAPL,0.0
2024-06-28,99905.1001298545,AAPL,0.0
2024-07-01,99905.1001298545,AAPL,0.0
2024-07-02,99905.1001298545,AAPL,0.0
2024-07-03,99905.1001298545,AAPL,0.0
2024-07-05,99905.1001298545,AAPL,0.0
2024-07-08,99905.1001298545,AAPL,0.0
2024-07-09,99905.1001298545,AAPL,0.0
2024-07-10,99905.1001298545,AAPL,0.0
2024-07-11,99905.1001298545,AAPL,0.0
2024-07-12,99905.1001298545,AAPL,0.0
2024-07-15,99905.1001298545,AAPL,0.0
2024-07-16,99905.1001298545,AAPL,0.0
2024-07-17,99905.1001298545,AAPL,0.0
2024-07-18,99905.1001298545,AAPL,0.0
2024-07-19,99905.1001298545,AAPL,0.0
2024-07-22,99905.1001298545,AAPL,0.0
2024-07-23,99905.1001298545,AAPL,0.0
2024-07-24,99905.1001298545,AAPL,0.0
2024-07-25,99905.1001298545,AAPL,0.0
2024-07-26,99905.1001298545,AAPL,0.0
2024-07-29,99905.1001298545,AAPL,0.0
2024-07-30,99905.1001298545,AAPL,0.0
2024-07-31,99905.1001298545,AAPL,0.0
2024-08-01,99905.1001298545,AAPL,0.0
2024-08-02,99905.1001298545,AAPL,0.0
2024-08-05,99905.1001298545,AAPL,0.0
2024-08-06,99905.1001298545,AAPL,0.0
2024-08-07,99905.1001298545,AAPL,0.0
2024-08-08,99905.1001298545,AAPL,0.0
2024-08-09,99905.1001298545,AAPL,0.0
2024-08-12,100097.27015449389,AAPL,0.0019235256697567316
2024-08-13,100097.27015449389,AAPL,0.0
2024-08-14,100097.27015449389,AAPL,0.0
2024-08-15,100097.27015449389,AAPL,0.0
2024-08-16,100097.27015449389,AAPL,0.0
2024-08-19,100097.27015449389,AAPL,0.0
2024-08-20,100097.27015449389,AAPL,0.0
2024-08-21,100097.27015449389,AAPL,0.0
2024-08-22,100097.27015449389,AAPL,0.0
2024-08-23,100097.27015449389,AAPL,0.0
2024-08-26,100097.27015449389,AAPL,0.0
