symbol,mode,fold,split,task,horizon_days,model,n_rows,acc,balacc,f1,auc,posrate,threshold,extra
AAPL,walk,0,val,direction,5,BASELINE_ALL_ZERO,121,0.33884297520661155,0.5,0.0,0.5,0.6611570247933884,0.5,
AAPL,walk,0,test,direction,5,BASELINE_ALL_ZERO,121,0.4214876033057851,0.5,0.0,0.5,0.5785123966942148,0.5,
AAPL,walk,0,val,direction,5,BASELINE_CONST_FROM_TRAIN,121,0.6611570247933884,0.5,0.7960199004975125,0.5,0.6611570247933884,0.5,p_train=0.586
AAPL,walk,0,test,direction,5,BASELINE_CONST_FROM_TRAIN,121,0.5785123966942148,0.5,0.7329842931937173,0.5,0.5785123966942148,0.5,p_train=0.586
AAPL,walk,0,val,direction,5,LOGREG,121,0.6611570247933884,0.5,0.7960199004975125,0.5594512195121952,0.6611570247933884,0.05,t_f1=0.7960 
AAPL,walk,0,test,direction,5,LOGREG,121,0.6942148760330579,0.6984593837535014,0.7175572519083969,0.6806722689075629,0.5785123966942148,0.05,t_f1=0.7960 
AAPL,walk,0,val,direction,5,HGB,121,0.6611570247933884,0.5,0.7960199004975125,0.3591463414634147,0.6611570247933884,0.05,t_f1=0.7960 
AAPL,walk,0,test,direction,5,HGB,121,0.5785123966942148,0.5,0.7329842931937173,0.4495798319327731,0.5785123966942148,0.05,t_f1=0.7960 
AAPL,walk,0,val,direction,5,XGB,121,0.6611570247933884,0.5,0.7960199004975125,0.501219512195122,0.6611570247933884,0.05,t_f1=0.7960 
AAPL,walk,0,test,direction,5,XGB,121,0.5785123966942148,0.5,0.7329842931937173,0.4546218487394958,0.5785123966942148,0.05,t_f1=0.7960 
AAPL,walk,0,val,direction,5,LGBM,121,0.6611570247933884,0.5,0.7960199004975125,0.47713414634146345,0.6611570247933884,0.05,t_f1=0.7960 
AAPL,walk,0,test,direction,5,LGBM,121,0.5785123966942148,0.5,0.7329842931937173,0.5033613445378151,0.5785123966942148,0.05,t_f1=0.7960 
AAPL,walk,0,val,direction,5,RF,121,0.6611570247933884,0.5,0.7960199004975125,0.5451219512195122,0.6611570247933884,0.05,t_f1=0.7960 
AAPL,walk,0,test,direction,5,RF,121,0.5785123966942148,0.5,0.7329842931937173,0.45798319327731096,0.5785123966942148,0.05,t_f1=0.7960 
AAPL,walk,0,val,direction,5,HYBRID_VOTING,121,0.6611570247933884,0.5,0.7960199004975125,0.47560975609756095,0.6611570247933884,0.05,t_f1=0.7960 soft-voting ensemble
AAPL,walk,0,test,direction,5,HYBRID_VOTING,121,0.5785123966942148,0.5,0.7329842931937173,0.5128851540616246,0.5785123966942148,0.05,t_f1=0.7960 soft-voting ensemble
AAPL,walk,0,val,direction,5,HYBRID_STACK,121,0.6611570247933884,0.5,0.7960199004975125,0.37896341463414634,0.6611570247933884,0.05,t_f1=0.7960 stacking with StratifiedKFold(5) meta-LogReg
AAPL,walk,0,test,direction,5,HYBRID_STACK,121,0.5785123966942148,0.5,0.7329842931937173,0.47647058823529415,0.5785123966942148,0.05,t_f1=0.7960 stacking with StratifiedKFold(5) meta-LogReg
AAPL,walk,1,val,direction,5,BASELINE_ALL_ZERO,121,0.3305785123966942,0.5,0.0,0.5,0.6694214876033058,0.5,
AAPL,walk,1,test,direction,5,BASELINE_ALL_ZERO,121,0.4380165289256198,0.5,0.0,0.5,0.5619834710743802,0.5,
AAPL,walk,1,val,direction,5,BASELINE_CONST_FROM_TRAIN,121,0.6694214876033058,0.5,0.801980198019802,0.5,0.6694214876033058,0.5,p_train=0.583
AAPL,walk,1,test,direction,5,BASELINE_CONST_FROM_TRAIN,121,0.5619834710743802,0.5,0.7195767195767195,0.5,0.5619834710743802,0.5,p_train=0.583
AAPL,walk,1,val,direction,5,LOGREG,121,0.7272727272727273,0.6887345679012346,0.7975460122699386,0.7175925925925926,0.6694214876033058,0.05,t_f1=0.7975 
AAPL,walk,1,test,direction,5,LOGREG,121,0.5206611570247934,0.4902885682574917,0.6329113924050633,0.5763041065482797,0.5619834710743802,0.05,t_f1=0.7975 
AAPL,walk,1,val,direction,5,HGB,121,0.6942148760330579,0.5501543209876543,0.8102564102564103,0.4811728395061728,0.6694214876033058,0.15,t_f1=0.8103 
AAPL,walk,1,test,direction,5,HGB,121,0.5371900826446281,0.4841842397336293,0.6888888888888889,0.5091564927857936,0.5619834710743802,0.15,t_f1=0.8103 
AAPL,walk,1,val,direction,5,XGB,121,0.7024793388429752,0.5563271604938271,0.8163265306122449,0.5441358024691358,0.6694214876033058,0.3,t_f1=0.8163 
AAPL,walk,1,test,direction,5,XGB,121,0.5619834710743802,0.5208102108768036,0.6863905325443787,0.5413429522752496,0.5619834710743802,0.3,t_f1=0.8163 
AAPL,walk,1,val,direction,5,LGBM,121,0.6694214876033058,0.5,0.801980198019802,0.5493827160493828,0.6694214876033058,0.05,t_f1=0.8020 
AAPL,walk,1,test,direction,5,LGBM,121,0.5619834710743802,0.5,0.7195767195767195,0.5194228634850167,0.5619834710743802,0.05,t_f1=0.8020 
AAPL,walk,1,val,direction,5,RF,121,0.6859504132231405,0.5503086419753086,0.8020833333333334,0.5993827160493826,0.6694214876033058,0.44999999999999996,t_f1=0.8021 
AAPL,walk,1,test,direction,5,RF,121,0.5206611570247934,0.48404550499445065,0.6463414634146342,0.46587125416204217,0.5619834710743802,0.44999999999999996,t_f1=0.8021 
AAPL,walk,1,val,direction,5,HYBRID_VOTING,121,0.7024793388429752,0.55,0.8181818181818182,0.566358024691358,0.6694214876033058,0.25,t_f1=0.8182 soft-voting ensemble
AAPL,walk,1,test,direction,5,HYBRID_VOTING,121,0.5454545454545454,0.5019422863485017,0.6783625730994152,0.5246947835738068,0.5619834710743802,0.25,t_f1=0.8182 soft-voting ensemble
AAPL,walk,1,val,direction,5,HYBRID_STACK,121,0.6694214876033058,0.5,0.801980198019802,0.3555555555555555,0.6694214876033058,0.05,t_f1=0.8020 stacking with StratifiedKFold(5) meta-LogReg
AAPL,walk,1,test,direction,5,HYBRID_STACK,121,0.5619834710743802,0.5,0.7195767195767195,0.5052719200887903,0.5619834710743802,0.05,t_f1=0.8020 stacking with StratifiedKFold(5) meta-LogReg
AAPL,walk,2,val,direction,5,BASELINE_ALL_ZERO,121,0.4214876033057851,0.5,0.0,0.5,0.5785123966942148,0.5,
AAPL,walk,2,test,direction,5,BASELINE_ALL_ZERO,121,0.4462809917355372,0.5,0.0,0.5,0.5537190082644629,0.5,
AAPL,walk,2,val,direction,5,BASELINE_CONST_FROM_TRAIN,121,0.5785123966942148,0.5,0.7329842931937173,0.5,0.5785123966942148,0.5,p_train=0.593
AAPL,walk,2,test,direction,5,BASELINE_CONST_FROM_TRAIN,121,0.5537190082644629,0.5,0.7127659574468085,0.5,0.5537190082644629,0.5,p_train=0.593
AAPL,walk,2,val,direction,5,LOGREG,121,0.6528925619834711,0.6574229691876751,0.676923076923077,0.6607843137254902,0.5785123966942148,0.1,t_f1=0.6769 
AAPL,walk,2,test,direction,5,LOGREG,121,0.5371900826446281,0.49405749032614704,0.6818181818181818,0.6699834162520729,0.5537190082644629,0.1,t_f1=0.6769 
AAPL,walk,2,val,direction,5,HGB,121,0.5785123966942148,0.5,0.7329842931937173,0.3943977591036415,0.5785123966942148,0.05,t_f1=0.7330 
AAPL,walk,2,test,direction,5,HGB,121,0.5537190082644629,0.5,0.7127659574468085,0.4215035931453842,0.5537190082644629,0.05,t_f1=0.7330 
AAPL,walk,2,val,direction,5,XGB,121,0.5702479338842975,0.4928571428571429,0.7263157894736842,0.46526610644257704,0.5785123966942148,0.05,t_f1=0.7263 
AAPL,walk,2,test,direction,5,XGB,121,0.5537190082644629,0.5,0.7127659574468085,0.5132669983416251,0.5537190082644629,0.05,t_f1=0.7263 
