symbol,model,threshold,fee_bps,n_days,total_return,sharpe,max_drawdown,avg_pos
AAPL,HYBRID_VOTING,0.55,0.0,823,0.049027415388777085,0.2628340959040592,-0.12137315128259485,0.05953827460510328
TSLA,HYBRID_VOTING,0.55,0.0,823,0.10243065034830345,0.25842233925749664,-0.23335803429840285,0.060753341433778855
^GSPC,HYBRID_VOTING,0.55,0.0,823,0.01165179415520301,0.15599167969812083,-0.03918957143885282,0.018226002430133656
^IXIC,HYBRID_VOTING,0.55,0.0,823,0.10733184094948589,0.38673352155369894,-0.08194706938922014,0.0425273390036452
